,cv_category,cv_number,title,cleaned_text
0,ENGINEERING,10030015,engineering lab technician,engineering lab technician career focus my main objective in seeking employment with triumph actuation systems inc is to work in a professional atmosphere where i can utilize my skills and continue to gain experience in the aerospace industry to advance in my career professional experience engineering lab technician oct to current company name city state responsible for testing various seat structures to meet specific certification requirements maintain and calibrate test instruments to ensure testing capabilities are maintained ensure data is captured and recorded correctly for certification test reports duties also dynamic test set up and static suite testing engineering lab technician sr specialist apr to oct company name city state utilized skills learned from labview course training to construct and maintain labview vi programs responsible for fabricating and maintaining hydraulic electrical test equipment to complete development and qualification programs apply engineering principles to operate electrical mechanical and hydraulic systems to test pumps motors and actuators for aircraft work closely with design engineers and lab management to investigate performance design issues completed lean six sigma s training seminar assembly test technician mar to mar company name city state lead technician overseeing three member crew responsible for maintaining high quality standards in a high volume production environment responsible for cargo door system actuators for boeing aircraft experience with hydraulic components that meet military and faa regulations work closely with engineering group and quality assurance inspectors to resolve problems with development actuators munitions systems journeyman mar to mar company name city state responsible for certifying small arms actuation devices bombs rockets and other munitions items supervised work crews of men while supporting usaf aircraft during operation enduring freedom assembled rockets bombs and small arms for operation enduring freedom train newly assigned personnel at line delivery section on transporting loading and delivering munitions to aircraft skills dasylab labview mechanical electrical lean s hydraulic testing test stand fabrication education and training associates applied science electronics engineering forsyth technical community college city state applied science electronics engineering associates applied science munitions systems technology community college of the air force city state applied science munitions systems technology
1,ENGINEERING,10219099,equipment engineering technician,equipment engineering technician professional summary skilled maintenance mechanic technician with superb problem solving and multi tasking skills self directed and motivated worker to obtain a position where teamwork integrity and proffesionalism are a high standard in the company s mission statement all while engaing in new challenges and learning experiences skills years of material management experience with state and federal government years of law enforcement experience with the united states marine corps and army national guard knowledge of mechanical test equipment work from written verbal instructions schematics rough sketches troubleshooting diagrams layouts and plans interpretation and application of technical knowledge and understanding of mechanical theory and principles proficient in the use of pc s ms office key by touch and customer service skills forklift and crane certified self motivated to lead and achieve company goals with excellence integrity and efficiency ndt level ii knowledge on mechanical pneumatic and hydraulic theory and principles work history equipment engineering technician to current company name city state responsibility for designing selecting robotic systems run simulation implementation commission and programming support and assist maintenance team in troubleshooting difficult breakdowns and chronic equipment failures conduct the installation of factory automation and electrical control systems for manufacturing equipment provide troubleshooting of electrical systems in plant manufacturing equipment provide effective direction coaching and ojt to fellow employees on shift to boost their skill sets and help production achieve their goals plan and organize between shift and weekend work including verification for smooth operations assist the supervisor in developing pms and procedures for maintaining all of the equipment in the shop provide shift to shift communication in order to keep all associates up to speed and working toward the same goals set an example and ensure that all associates comply with safety regulations and the plant s safety program work with engineers and fellow technicians to resolve technical problems assist in candidate selection as requested maintain departmental records maintain spare parts inventory identify and order needed parts maintain tracking system perform other duties as assigned by the supervisor and manager mechanical technician to company name city state implement repair services on all production equipment auxiliary equipment and building equipment using hand tools testing tools manual drawings computer and any other tools necessary to accomplish the task provide reliable high quality customer support through on site inspecting installing repairing and or replacing fire alarm equipment as well as conducting preventive maintenance services pertaining to many different manufacturers equipment ensure conveyor belts working effectively operating engineer test technician to company name city state operates repair and maintain facility plant machinery test equipment lubrication and cooling systems and high pressure systems for nasa unitary wind tunnels constructs modifies maintains and services wind and propulsion tunnel research facilities used to test models of aircraft components utilizing knowledge of engineering test methods and procedures installs and aligns mechanical hydraulic and pneumatic test equipment and models on support structures installs instrumentation thermocouples and pressure taps on model and test equipment inspects test setup and operates equipment to detect and correct malfunctions maintains instrumentation equipment and accessories for pressure valves icing indicators drive units spray units and pumps confers with engineering and other personnel during testing and modifies model test support structure or test equipment as directed inspect test and install fire sprinkler systems standpipe systems fire pumps and clean agent systems at various industrial commercial and institutional facilities in accordance with various codes perform inspections test and repair replace fire hoses and fire hydrants generate reports based on inspection findings logistics coordinator sr lab technician to company name city state coordinates all incoming and outgoing shipments of solar arrays panels shipping containers and ground support equipment interfaces with metrology personnel to ensure calibrated equipment needs are prioritized and maintains inventory of the section s calibrated equipment supports work in progress troubleshoots manufacturing problems caused by test equipment coordinates proof loading and non destructive testing of lifting fixtures and handling equipment maintains inventory of industrial supplies disposes of hazardous materials and coordinates area compliance understands and follows the elements of iso production control analyst to company name city state expedites materials through production processes coordinates actions with other departments verifies kit hardware completeness and configuration requests drawings and materials to be issued from stores resolves aging work orders generates non conforming material reports ncmr s interfaces with process engineers manufacturing operators and supervisors to control and analyze the movement of production resolves complex constraints for any wip that may cause schedule delays problem solve all audit issue on work centers perform internal and external expediting of critical parts and initiate and process scrap tags and process miscellaneous issue requests extensive use of the promis software trains new hires in class clean room protocol and enforces violations procurement of all clean room articles and consumables with outside vendors supervises courier team of to ensure proper transport of company assets from site to site material production planner to company name city state expedites materials through production processes coordinates actions with other departments verifies kit hardware completeness and configuration requests drawings and materials to be issued from stores resolves aging work orders generates non conforming material reports ncmr s and generates shipping packing lists and invoice documents responsible for scheduling releasing updating and closing work orders in a timely manner reports oral and written status of work progress to internal customers interfaces with all operations functions education general courses monterey peninsula college city state technical diploma san francisco police academy city state accomplishments writes dsn s for over shipment wrong parts and or no certification completes memo receivers for parts with no po reference or those returned for repair coordinates efficient flow of materials and analyzes required capacity in processes with involved departments to ensure a smooth and timely operation extensive use in all microsoft office applications and the following software wds lss cavs ii skills automation closing coaching oral hardware customer support designing direction hand tools inventory iso machinery materials mechanical personnel processes procurement programming progress quality quality control receiving repairs repairing research robotic systems safety scheduling shipping simulation supervisor test equipment troubleshooting written articles
2,ENGINEERING,10624813,engineering operations director,engineering operations director executive profile senior software executive senior software executive who is a key contributor to strategic planning and product development highly skilled at creating and implementing key software improvements and process changes by uncovering major process limitations maximizing profitability scalability and competition in the global marketplace accomplishments over last years reported directly to c level executives and board members successfully bridging the gap between the business and engineering implementing strategic plans and ensuring that the engineering teams are aligned to business goals agile expert and evangelist running software development teams for over years and specifically agile software development for more that years reorganized and transitioned many teams and companies to become smooth running agile groups drastically reducing delivery issues making the work very transparent empowering team members to become self directed and accountable to their commitments skilled at managing entire software development process and employees including qa project management technical support on and offshore teams contractors subsidiaries and merger acquisitions successfully on boarded the engineers and technology from an acquired company and quickly merged their intellectual property ip into the main product line advocate for strong engineering best practices including design code reviews paired programming unit tests and continuous integration testing through automation including establishing leading and trailing engineering metrics which provide strong indicators of product quality and delivery schedule managed globally distributed teams ranging from people with p l responsibilities between m m teams have been located in us germany hungary russia china and argentina consistently an early adopter of critical trends in methodologies and practices which transform and refine processes to increase the delivery of business value skill highlights technology java amazon aws hibernate php ec elastic search c jsmvc junit c html selenium canjs css aurora pl sql bootstrap jenkins oracle python phabricator my sql ajax github javascript camel jira rest and soap services mongodb perl professional experience engineering operations director january to current company name city state a high growth company whose suite of services help researchers successfully communicate their work identified misalignment between technical teams and business reorganized the technical teams and aligned technical metrics to support business kpis increasing revenue and cost savings doubled team to people in months by introducing a new improved hiring process that quickly filtered out non qualified candidates and increased our acceptance rate to over awarded culture champion award director of software development january to january company name city state a non profit organization devoted to the advancement and well being of dogs turned around a multiyear software delivery failure by re architecting the approach taken changing the technology used and transitioning the team to agile putting the software back on budget and on time reduced technical dependency on old technologies by road mapping out a multiyear strategic technology plan reducing number of technologies used throughout the department by responsible for web based pci compliant e commerce software connected to an enterprise database chief operating officer january to january company name city state public safety software and services company focused on enterprise class software for fire and ems departments implemented a saas solution allowing smaller towns and cities the ability to use and integrate with the fire and ems software reduced customer s server upgrade time from days to hours removed the requirement caused by software limitations that hard mounted mobile computers be removed from fire trucks and brought into the it dept for upgrades reduced a mobile computer s install and upgrade times from day per machine to hours vice president of engineering january to january company name city state a mid sized d software company for creating digital models of physical objects including both off the shelf and customized commercial applications the software is used globally in markets such as rapid prototyping reverse engineering inspection and healthcare grew revenue from to over m with a cagr greater than for consecutive years integral in receiving term sheets of similar valuation resulting in m in vc funds in expanded company organically from to employees coordinated effectively with sales product development and marketing teams to produce globally competitive products conceived of and implemented critical changes in software architectural designs creating a partner eco system director of software development january to january company name city state a person company using its patented lens system to project a standard d image into a degree hemispherical screen using software to convert the flat image to the curved surface without distortion engineering manager senior software engineer january to january company name city state a person company providing b b and b c real time d solutions via the internet software engineer january to january company name city state software engineer january to january company name city state education postgraduate courses in cognitive and neural systems boston university city state m s computer science union college city state computer science masters project a netless neural network presented on august at international conference on expert systems and neural networks theory applications b s computer science union college city state computer science skills d agile ajax approach b b budget c c competitive css database delivery e commerce expert systems funds hiring html php image inspection java javascript marketing mongodb enterprise network networks neural oracle pl sql pci perl product development profit prototyping public safety python real time receiving requirement sales soap sql strategic upgrades upgrade valuation vc
3,ENGINEERING,10712803,engineering services manager,engineering services manager executive profile a results driven controls engineer and project manager with over years of experience in manufacturing skilled in industrial automation and process engineering with a strong mechanical design background proven ability to lead and motivate high performance teams history of building systems with improved functionality and productivity consistently meeting critical requirements skill highlights proficient in process engineering and applying process needs to available technology to improve production availability and uptime proficient in process engineering and applying process needs to available technology to improve production runablility and uptime professional experience engineering services manager company name city state accountable for maintaining the efficiency and effectiveness of all production manufacturing processes required to manufacture a high quality product in a repeatable and cost effective manner and provide overall customer satisfaction manage all engineering services with provision of all energy sources accountable for all mechanical repairs design and construction within all departments and the resources engaged in the provision of these services both internal and external support waste water operations by providing advanced troubleshooting on siemens plc s configured wincc scada system ensure that all expenditures both in supplies and staffing are optimized and maintained within budget developed asset management software to track cost asset history and work order tracking performed advanced troubleshooting and plc support for all plant equipment electrical superintendent company name city state primary responsibilities include supervising and coordinating all electrical and instrumentation activities accountable for the proper operation of all automation and controls on production equipment power distribution systems plant communications phones networks and security systems managed projects for installation of new equipment from design concept to installation and start up managed large network of allen bradley plc s including contrologix compactlogix and micro controllers with factorytalk view me and se human machine interfaces managed the installation and startup of several new projects over mm hg molenaar cooker cooler buscetto steam peeler navatta steam peeler zilli bellini diced tomato filling line perform advanced troubleshooting and plc support for all plant equipment trained electricians and instrument technicians in advanced vfd troubleshooting and configuration plc programming process control and applicable regulations including nfpa e and nec codes project manager company name city state responsible to review and interpret proposed designs drawings and specifications for suitability and initiate revisions where appropriate managed a team of engineers in the design of various machine sections to ensure on time project completion supervised the mechanical and electrical assembly of equipment to ensure that sections are completed on time and meet customer specs managed cross functional teams to insure on time installation of equipment at customers facilities coordinated with vendors and other contractors to complete equipment installation developed and administered project budgets and fiscal controls contracts and quality control provisions for projects facility supervisor company name city state managed the activities of maintenance personnel accountable for projects involving the construction of new buildings and facilities also the alteration or modification of existing units performed advanced troubleshooting and repairs on production equipment such as hydraulic presses autoclaves and other equipment used in composite molding design layout and installation of industrial automation used in production equipment plc and hmi programming primarily allen bradley slc platform maintenance manager safety environmental manager company name city state tyco purchased the facility in managed the operations and activities of plant maintenance and engineering personnel accountable for compliance with applicable federal state and local laws and regulations securing all required permits and coordinating with local authorities maintain a proficiency and applied understanding of all aspects of plant engineering including electrical systems circuit planning power distribution illumination instrumentation and controls electrical machinery codes and standards mechanical systems hvac pumps piping and plumbing compressors and compressed air systems power transmission material handling and storage fire protection structural design and analysis building and life safety codes maintenance systems reliability understanding drawings and specifications maintenance programs and management preventive and predictive maintenance practices maintenance parts and supplies inventory management building and grounds housekeeping administration and supervision manpower planning personnel development labor relations project administration and management record keeping environmental safety and health management noise control air quality control water quality control solid waste handling hazardous materials controls regulations codes and standards responsible for the installation programming maintenance and operation of new material handling control system created custom database and production accounting programs with microsoft access performed advanced troubleshooting on all plant equipment converted antiquated modicon plc control system to allen bradley plc with wonderware man machine interface hmi trained plant maintenance personnel on plc programming ac dc drive troubleshooting and advanced electrical controls troubleshooting maintenance technician company name city state performed routine electrical and mechanical maintenance and emergency repairs on automated plc controlled conveyors pallet wrappers burn in towers and other equipment used in the assembly of apple computers completed plc logic changes from verbal or written instruction and maintained logic backups with revision history electrician company name city state responsible for repairing and maintaining plastic extrusion equipment in the production of plastic bags and stretch pallet wrap performed process troubleshooting of entire production lines including programmable logic controllers plc s ac inverters and dc drives ac and dc motors and all associated control equipment maintained all aspects of plant utilities including chillers air compressors and power distribution completed electrical installations from blueprints sketches or verbal instructions with little or no supervision designed and implemented a computerized maintenance management system cmms that allowed for more efficient tracking of maintenance resources and cost helped set up and run a successful predictive preventive maintenance program that greatly reduced cost of emergency repairs instructed other electricians in maintenance and troubleshooting of ac and dc drives and p l c programming microwave communications technician company name city state worked for a rebuild facility doing repairs and overhauls of a wide variety of communications equipment primary job was to rebuild microwave communications equipment also repaired uhf and vhf radios created a computerized inventory control program that greatly reduced the amount of man hours required to perform quarterly inventories education certificate of completion aib haccp online course haccp food safety select one yuba community college business management city state coursework in business management neec building operator certification butte college basic electronics drafting city state high school diploma elk creek high school city state select one better process control school city state usa level neec building operator skills accounting apple computers asset management automation basic blueprints budgets budget c ca hardware concept contracts client database dc delivery design and construction directing electrical systems electronics equipment installation filling fire protection food safety hammer hvac instruction inventory management inventory control labor relations layout logic logistics machinery maintenance schedules manufacturing processes materials mechanical microsoft access microsoft nt server microsoft windows nt server microwave nec network networks novell personnel plc programming plc plumbing power distribution process control process engineering programming quality quality control radio record keeping repairs repairing safety safety codes scada siemens plc staffing supervising supervision surveys technical support phones transmission troubleshooting uhf utilities validation vhf view water quality wonderware written
4,ENGINEERING,10985403,mechanical engineering intern,mechanical engineering intern summary cad cam finite element analysis mechanical design product design and development skills years of experience with cad packages solidworks autodesk inventor autocad catia ptc creo years of experience with cae softwares hypermesh abaqus ansys optistruct years of experience with analysis linear non linear static dynamic gd t tolerance analysis design optimization experience with sheet metal design for manufacturing generating bill of materials dfmea sculpting experience with advanced material selection for rapid prototyping advanced manufacturing welding and d printing experience to company name finite element analysis of industrial robotic assembly illinois institute of technology chicago jan may conceptualized brainstormed and designed a axis scara robot for pick and place operation in automotive industry performed static analysis with stainless steel to evaluate the maximum load an assembly can lift before yielding also analyzed gripper and joints to eradicate future failures optimized design using optistruct by varying mesh sizes and element order simulated assembly with dynamic analysis to find distorted elements and to verify optimized structure reliability engineering analysis on automotive oil pump illinois institute of technology chicago sept dec used industrial reliability specifications to select the power consumption and flow rate at three distinct levels of rpm to study its variability improved system using taguchi analysis by optimizing signal to noise ratio conducted failure mode effect analysis fmea to analyze potential causes of failures to deliver clean oil upon demand abstracted and designed near dry machine with two inlet nozzles performed fluid analysis and actual results on lathe machine provided vegetable oil as a coolant with pressurized air on flank face of the tool which resulted in unburnt and recyclable chips gearbox design narsee monjee institute of management studies mumbai jan may designed a gear box with different gears such as spur helical worm by considering seals lubricating oil and bearings assigned materials and performed dynamic simulation to define contact surfaces to mechanical engineering intern company name initiated a project to perform a failure investigation in mufflers due to the low clearance of roads and provided feedback established and coordinated maintenance gd t safety procedures service schedule and supply of materials in the maintenance shop developed failure reports including feedback based on common failures from the automotive industry set up and calibrated accelerometers on hyundai cars to conduct tests to analyze the modes of vibration of vehicle and the steering column to manufacturing engineering intern company name analyzed automation process parameters different equipment to shape and control the profile of chips and manufacturing process of hot strip coil re designed the existing shop floor to improve space utilization increase material flow optimize labor and reduce holding costs by and improved space utilization by performed statistical analysis on historical data of the operating parameters using spc and doe s to identify significant factors contributing to process deviation and affecting the cold crushing strength of the pellet generated bill of materials and calculated overall manufacturing cost education and training may master s mechanical aerospace engineering illinois institute of technology iit city state mechanical aerospace engineering advanced cad cam engineering analysis finite element analysis advanced manufacturing may bachelor of technology mechanical engineering narsee monjee institute of management studies city india mechanical engineering work history company name certifications autodesk certified professional in autodesk inventor professional software license autodesk certified associate in autocad software license publications parekh r chaudhary r ingle a phd reliability of dissimilar metal joints using fusion welding a review presented at the international conference on machine learning electrical and mechanical engineering icmleme dubai uae skills d ansys autocad automation automotive cad cam cad catia dec engineering analysis lathe manufacturing process materials material selection oil optimization pick prototyping robotic safety simulation solidworks spc statistical analysis welding
5,ENGINEERING,11890896,senior engineering manager,senior engineering manager summary personable patient and adaptable math tutor with years of experience tutoring k and college students in mathematics highly reliable and approachable person with years of professional experience in people management leadership documentation multi tasking innovation and creativity gained through the corporate world of silicon valley accomplishments problem solving assisted students from k through college on a variety of class assignments helped them understand how to solve quantitative problems and achieve higher grades in their classes creative lesson planning motivated students to engage with course materials by organizing colorful fun flashcard games to be used as a recall technique to enhance learning grading evaluated college level exam papers making sure grades accurately and fairly reflect the quality of students work presentation designed and created course presentations to be used by sfsu instructor in a management class created and presented several presentations for colleagues using microsoft powerpoint and google docs training provided sql programming trainings to corporate team members in a classroom setting to enhance their knowledge of sql which allowed them to significantly improve data analysis education master of business administration decision sciences san francisco state university city state courses operations management total quality systems project management business forecasting supply chain management bachelor of science mathematical engineering yildiz technical university city turkey courses mathematical analysis linear algebra fundamentals of mathematical logic analytic geometry ordinary differential equations theory of probability numerical analysis statistics matrix analysis optimization techniques insurance mathematics teaching experience volunteer math tutor to current company name city state tutored students in algebra geometry statistics attended algebra classes to provide special assistance to english language learners ells and help them understand the content and express their grasp of mathematical concepts both orally and in writing volunteer math tutor to company name city state assisted students in algebra i and ii by providing volunteer teaching during flex time hours which is a class period when students visit a chosen class to seek help with struggles or expand on their interests teaching assistant to company name city state edited several business forecasting and operations management thesis papers for journal publications graded exam papers and evaluated operations management and total quality systems class assignments assisted in operations analysis statistics and mathematics related work as assigned mathematics and statistics tutor to company name city state tutored students in mathematics statistics and probability estimation hypothesis tests regression analysis and correlation quantitative analysis of production management and control with related computer applications and optimization techniques inventory control demand forecasting corporate experience operational excellence lead google express to company name city state analyzed data using statistical analysis tools such as correlation and multiple regression analysis reviewed results and provided recommendations on system improvements courier performance efficiency and capacity planning using various optimization and data analysis techniques identified operational areas that needed process and speed improvement to deliver orders faster consultant to company name city state supported the looks application from pre launch to current in marketing content management quality testing areas application won sf fashion tech pitch competition in june and company has reached approximately m active users operations manager to company name city state supervised a team of logistics analysts and warehouse staff in global warehouses defined the scope of key performance indicator kpi reports and analytical tools needed which helped decrease operational errors by more than turned large data sets into actionable items in the form of order forecast reports optimization tools and inventory reconciliation reports senior analyst to company name city state supported global operations by ensuring warehouse productivity inventory accuracy timeliness of order fulfillment and shipments documented standard operating procedure sops and work flow processes for the use of operations and customer support teams account manager and logistics analyst to company name city state managed customer accounts in different industries to ensure on time delivery of shipments for import and export operations supervised and trained new users for procurement and warehouse management system skills tutoring teaching mathematics algebra geometry english content management documentation middle school high school math college math presentation analysis grading and evaluation problem solving esl students technology integration classroom monitoring student assistance account management customer care and satisfaction data analysis forecasting inventory quantitative analysis leadership operations management procurement project management optimization c c ms office suite google docs sql
6,ENGINEERING,11981094,software engineering manager,software engineering manager summary experienced software engineer and hands on engineering manager with years of product development experience in broadcast media and years of experience in leading development teams engineers hiring offers interviews hr personnel procedures performance reviews and project transitions experience to current software engineering manager company name city state visual c windows oop stl winapi mfc threads atl ipc ftp tcp http xml json services web services rest api soa media formats and standards codec sdk mpeg dash api design and documentation bcd spinoff as imagine in nexio video servers and applications run in various nodes of nexio lan to facilitate collaborative video broadcast workflows media comes from proprietary san or generic storage off nas development and team management nexio servers applications playout business unit led team of developers from burbank naperville and beijing indirect introduced peer reviews repurposed components and all teams collaborated as one large team and leading team of to from burbank since adopted scrum scrummaster facilities right sized and released deliverables for nexio software suite and global proxy suite team handles vendor communications for codec level customer issues and team migrated source revision control to mercurial jenkins products published functional rest api and uri specification document for hercules web service and json protocol api documents for rd party and in house use selected hands on projects include service oriented architecture initiated architected and executed soa from concept to completion to facilitate centralized web client opportunities and service models and team delivered web services services desktop clients and web client pages for essential functions including media playback metadata access proxy management and two domain content management hercules web service for web player solution based off mpeg dash created complete backend c engine to process uri provide dynamic html player page javascript source based off dash js handle ready to go and just in time sources and deliver segmented mp atoms h aac and team helped with providing c web service framework cli bridge layer and device testing json services on tcp stack using c as part of soa created header only parser on top of rapid json for sax style reader multi threaded server side api framework classes for request response and notification methods developed new services content manager and picon evolved encoder gprx helios mb scavenger and transcoder as services and guided helper and requestor to completion content manager service for primary backup workflows architected and developed rules based dynamic multi threaded c engine to manage media contents and metadata updates between two domains scavenger transcoder for proxy media proposed new method teamed up and successfully wrote two new products to replace escalated legacy products that required regular hand holding mediabase dll desktop explorer guided to optimize for k ids to meet storage scalability and achieved interactive ui performance for all conditions regardless of user operation dta handler architecture in ftp server proposed to introduce single handler to help consolidate all formats as one product build and scalability and team added one converter dll per container for import and export to software engineering manager company name city state development and team management nexio editing applications hired mentored and built core editing team to size of from naperville collaborated with expanded team in beijing indirect teamed up to develop server integration modules for video broadcast workflows and released deliverables for video editing suite established development process document for consistent procedures and peer code review guidelines and team established crash dump analysis procedures to help troubleshoot hard to repeat issues to principal software engineer company name city state harris corporation acquired leitch architected designed and implemented fundamental dll components for evolution of video editing product and selected major projects include c win threads codec sdk driver sdk mfc interactive playback architecture video and audio rendering engines scalable decoder and encoder components hardware integration modules critical part of business success in post production space interactive picon and waveform drawing components to software engineer company name city state dps acquired star media leitch acquired dps in star media technology startup created video editing software velocity for post production space and developed projects include project media management tools render bank and video effects education m s computer science illinois institute of technology city state computer science b e electronics and communication engineering national institute of technology city india electronics and communication engineering skills api atl audio backup broadcast c cli hardware concept content management content client clients documentation dynamic html editing xml ftp functional drawing http ids explorer javascript json lan mb access c mfc win windows nas oop page proxy rendering san scrum servers specification team management threads troubleshoot video video editing visual c
7,ENGINEERING,12011623,engineering and quality technician,engineering and quality technician career overview a highly experienced skilled graduate with analytics degree with a very good experience in sas web scraping sql predictive modelling and data visualization excellent ability in identifying data requirements for analysis data cleaning munging and model building ensures the organization uses it effectively to reach profit and growth objectives comfortable with data handling modeling and coding and have an appreciation of what makes sense from a business standpoint more than six years of experience working as a researcher data analyst and environmental science and technology instructor experience in sql data warehousing maintaining securing and stabilizing data layers and testing to identify data and product defects introduced in the system customer segmentation product positioning and mapping and conjoint analysis modelling design and implement statistical predictive models and cutting edge algorithms utilizing diverse sources of data to predict diversified experience with engineering manufacturing retailing higher education and it data related companies fascinated by learning cutting edge technologies such as data mining and machine learning handled a team of during my years of tech experience and managed more than students and effectively evaluated the performance of each student and utilize assessment methods to judge overall progress during my teaching experience qualifications ability to identify uncovered information from hidden data and convert to a story and communicate effectively through visualization modelling using r sas python using pandas web scraping using beautiful soup in python databases like oracle and microsoft sql experience in asp net c and html statistical software like jmp spss gis visualization software like tableau ggplot r experience in database design for data warehousing environments modelling using random forests decision trees boosted trees etc modelling using shrinkage methods including ridge lasso and elastic net regression models dimension reduction using pca outlier analysis linear regression clustering techniques logistic regression work experience to engineering and quality technician company name city state planned performed and conducted semiconductor production process development and engineering designs as well as managed small projects and prepared statements and monitored project schedules identified product defects introduced in data warehouse by performing quality tests using sql and jmp co ordinated with scientists engineers manager analysts to understand the impacts due to defects and provided valuable information for product shipping and customer satisfaction managed multiple tasks and accomplished goals efficiently and per schedule with a strong work performance to meet the goals of the department monitored and adjusted semiconductor production process or and equipment for improving quality and productivity and achieved a higher performance rate for the fiscal year of provided technical support in developing building and testing prototypes new products processes and procedures and provided training and advice to other engineering technicians applied database management and data analysis methods which helped enhancing production efficiency and reduced costs for the department by in every quarter to company name lecturer in environmental science and technology effectively engaged in course curriculum development taught courses and engaged in research projects and community services on the areas of statistics gis and natural resource management developed course material that support the goal of the course including design of curriculum and schedule of instructions provided student with guidance in regards to their grades and progress in the course work and elected as best instructor of the college in established a gis laboratory facility with other staff members provided technical support for environmental remediation projects and for legal actions used sql and spss for managing student database and for analysis of data to company name assistant lecturer in natural resource management assisted in teaching researching and developing methods which helps in improving both the university and students performance highly engaged in curricular and extra curricular activities and community services established and coordinated nature and environmental protection club in the university developed teaching methodologies and techniques that added to the knowledge base and understanding of resource management by preparing teaching materials handouts and laboratory manuals engaged in major research projects of resources management which was undertaken in collaboration with universities ngos and engineering consulting companies served as lead of the college s audiovisual center and arranged workshops meetings and documented academic resources education and training may master of science analytics university of new hampshire usa analytics currently working on a project on mapping and clustering of student success using clustering data mining and machine learning predictive modeling techniques for granite state college gsc the objective of this project is identifying factors which will help students become successful in their academic achievements and finding ways to improve students retention rates working on unh hockey team project with a team of people for predicting players performance undertaken a summer project on mapping and clustering of chicago and seattle city crime and we could successfully classify categories with a accuracy yitayew anteneh workineh graduate student in city state april master of science environmental science and technology unesco ihe city the netherlands environmental science and technology july bachelor of science resource management debub university ethiopia resource management skills asp net academic clustering consulting curriculum development customer satisfaction data analysis data mining data warehouse databases database database design database management data warehousing environmental protection environmental science gis html instructor lecturer legal machine learning managing materials meetings c microsoft sql modeling natural oracle process development and engineering processes progress python quality researching research sas shipping spss sql statistics tableau teaching technical support workshops
