,JD_Index,1,2,3,4,5
0,3,ENGINEERING-33685075,INFORMATION-TECHNOLOGY-28126340,ENGINEERING-56691064,ENGINEERING-28630325,ENGINEERING-14049846
1,4,INFORMATION-TECHNOLOGY-18176523,ENGINEERING-82246962,ENGINEERING-36149549,INFORMATION-TECHNOLOGY-31111279,INFORMATION-TECHNOLOGY-46260230
2,5,ENGINEERING-38535335,INFORMATION-TECHNOLOGY-24038620,INFORMATION-TECHNOLOGY-24020470,INFORMATION-TECHNOLOGY-46260230,ENGINEERING-36149549
3,6,INFORMATION-TECHNOLOGY-20674668,INFORMATION-TECHNOLOGY-64017585,ENGINEERING-44624796,ENGINEERING-23497307,ENGINEERING-32081266
4,7,INFORMATION-TECHNOLOGY-15802627,INFORMATION-TECHNOLOGY-24020470,INFORMATION-TECHNOLOGY-31111279,ENGINEERING-36149549,INFORMATION-TECHNOLOGY-46260230
5,8,INFORMATION-TECHNOLOGY-41344156,INFORMATION-TECHNOLOGY-18176523,ENGINEERING-47919212,INFORMATION-TECHNOLOGY-46260230,ENGINEERING-13264796
6,9,ENGINEERING-28630325,INFORMATION-TECHNOLOGY-28126340,ENGINEERING-77828437,ENGINEERING-56691064,INFORMATION-TECHNOLOGY-25207620
7,10,INFORMATION-TECHNOLOGY-24038620,ENGINEERING-14049846,ENGINEERING-38535335,INFORMATION-TECHNOLOGY-31111279,INFORMATION-TECHNOLOGY-27770859
8,11,INFORMATION-TECHNOLOGY-18752129,INFORMATION-TECHNOLOGY-18176523,INFORMATION-TECHNOLOGY-31111279,ENGINEERING-36149549,INFORMATION-TECHNOLOGY-46260230
9,12,INFORMATION-TECHNOLOGY-64017585,INFORMATION-TECHNOLOGY-18176523,INFORMATION-TECHNOLOGY-46260230,ENGINEERING-32081266,ENGINEERING-13264796
10,13,INFORMATION-TECHNOLOGY-28126340,INFORMATION-TECHNOLOGY-26746496,INFORMATION-TECHNOLOGY-16186411,ENGINEERING-28630325,INFORMATION-TECHNOLOGY-83816738
11,14,ENGINEERING-36149549,INFORMATION-TECHNOLOGY-18752129,ENGINEERING-82246962,INFORMATION-TECHNOLOGY-46260230,INFORMATION-TECHNOLOGY-31111279
12,15,INFORMATION-TECHNOLOGY-24020470,ENGINEERING-82246962,ENGINEERING-36149549,INFORMATION-TECHNOLOGY-31111279,INFORMATION-TECHNOLOGY-46260230
13,29,ENGINEERING-56691064,INFORMATION-TECHNOLOGY-41344156,ENGINEERING-27040860,ENGINEERING-13264796,INFORMATION-TECHNOLOGY-46260230
14,30,INFORMATION-TECHNOLOGY-64017585,INFORMATION-TECHNOLOGY-12763627,ENGINEERING-56691064,ENGINEERING-13264796,INFORMATION-TECHNOLOGY-46260230
15,31,INFORMATION-TECHNOLOGY-31111279,INFORMATION-TECHNOLOGY-27770859,ENGINEERING-38535335,ENGINEERING-28320387,ENGINEERING-14049846
16,32,ENGINEERING-14206561,ENGINEERING-77828437,ENGINEERING-44624796,INFORMATION-TECHNOLOGY-64017585,ENGINEERING-25608963
17,33,ENGINEERING-27040860,INFORMATION-TECHNOLOGY-27770859,ENGINEERING-10624813,INFORMATION-TECHNOLOGY-31111279,INFORMATION-TECHNOLOGY-24038620
18,34,ENGINEERING-14049846,INFORMATION-TECHNOLOGY-13477922,ENGINEERING-22605864,ENGINEERING-38535335,INFORMATION-TECHNOLOGY-12334140
19,35,INFORMATION-TECHNOLOGY-15802627,INFORMATION-TECHNOLOGY-31111279,INFORMATION-TECHNOLOGY-27770859,INFORMATION-TECHNOLOGY-17641670,INFORMATION-TECHNOLOGY-46260230
20,36,INFORMATION-TECHNOLOGY-46260230,ENGINEERING-12011623,INFORMATION-TECHNOLOGY-57002858,ENGINEERING-28320387,ENGINEERING-27040860
